_init, basic@08048ee8, 08048ee8, 08048f0a
array_bounds, basic@0804c71a, 0804c71a, 0804c72c
array_bounds, basic@0804c740, 0804c740, 0804c748
array_bounds, basic@0804c74c, 0804c74c, 0804c74e
array_bounds, basic@0804c750, 0804c750, 0804c75f
array_bounds, basic@0804c767, 0804c767, 0804c769
array_bounds, basic@0804c76b, 0804c76b, 0804c774
array_bounds, basic@0804c778, 0804c778, 0804c77a
array_bounds, basic@0804c77c, 0804c77c, 0804c785
array_bounds, basic@0804c789, 0804c789, 0804c78b
array_bounds, basic@0804c1cf, 0804c1cf, 0804c1d9
array_bounds, basic@0804c791, 0804c791, 0804c7a4
array_bounds, basic@0804c4f3, 0804c4f3, 0804c50c
array_bounds, basic@0804c520, 0804c520, 0804c52e
skip_some_whitespace, basic@0804c7b0, 0804c7b0, 0804c7b7
skip_some_whitespace, basic@0804c7dd, 0804c7dd, 0804c7ee
skip_some_whitespace, basic@0804c7c0, 0804c7c0, 0804c7c3
skip_some_whitespace, basic@0804c7f8, 0804c7f8, 0804c7fd
skip_some_whitespace, basic@0804c7f0, 0804c7f0, 0804c7f3
skip_some_whitespace, basic@0804c7c5, 0804c7c5, 0804c7d6
skip_some_whitespace, basic@0804c7d8, 0804c7d8, 0804c7db
skip_some_whitespace, basic@0804c800, 0804c800, 0804c818
reset_reader, basic@0804c820, 0804c820, 0804c82c
reset_reader, basic@0804c82e, 0804c82e, 0804c83e
